State,Range,Rate
AK,9.5 to 19.0,14.9
AL,9.5 to 19.0,19.0
AR,19.1 to 21.9,20.0
AZ,19.1 to 21.9,20.6
CA,23.0 to 25.8,23.0
CO,19.1 to 21.9,21.4
CT,19.1 to 21.9,21.9
DC,9.5 to 19.0,9.5
DE,25.9 to 42.3,29.7
FL,23.0 to 25.8,23.2
GA,25.9 to 42.3,27.4
HI,19.1 to 21.9,20.3
IA,23.0 to 25.8,24.9
ID,25.9 to 42.3,26.6
IL,9.5 to 19.0,18.7
IN,19.1 to 21.9,19.8
KS,23.0 to 25.8,24.3
KY,25.9 to 42.3,27.1
LA,9.5 to 19.0,17.3
MA,9.5 to 19.0,18.4
MD,19.1 to 21.9,21.9
ME,23.0 to 25.8,25.1
MI,9.5 to 19.0,18.7
MN,25.9 to 42.3,29.9
MO,19.1 to 21.9,19.1
MS,9.5 to 19.0,17.1
MT,25.9 to 42.3,26.9
NC,23.0 to 25.8,24.3
ND,19.1 to 21.9,21.3
NE,23.0 to 25.8,23.5
NH,25.9 to 42.3,32.5
NJ,19.1 to 21.9,21.9
NM,9.5 to 19.0,14.6
NV,9.5 to 19.0,15.1
NY,9.5 to 19.0,17.7
OH,23.0 to 25.8,23.1
OK,19.1 to 21.9,21.8
OR,23.0 to 25.8,24.6
PA,23.0 to 25.8,25.8
RI,25.9 to 42.3,26.7
SC,19.1 to 21.9,20.7
SD,23.0 to 25.8,25.8
TN,9.5 to 19.0,18.8
TX,9.5 to 19.0,12.6
UT,25.9 to 42.3,42.3
VA,19.1 to 21.9,19.7
VT,25.9 to 42.3,35.7
WA,25.9 to 42.3,25.9
WI,23.0 to 25.8,23.8
WV,19.1 to 21.9,20.0
WY,25.9 to 42.3,26.6
